1,22
2,54
3,114
4,107
5,115
6,93
7,94
8,101
9,118
10,101
11,71
12,100
13,86
14,138
15,103
16,129
17,116
18,90
19,124
20,199
21,69
22,123
23,101
24,133
25,120
26,99
27,143
28,40
29,64
30,132
31,118
32,86
33,88
34,136
35,125
36,97
37,42
38,118
39,110
40,98
41,110
42,146
43,117
44,99
45,129
46,57
47,95
48,92
49,62
50,80
51,140
52,94
53,106
54,134
55,71
56,118
57,84
58,101
59,100
60,146
61,86
62,83
63,138
64,108
65,100
66,92
67,121
68,121
69,81
70,101
71,77
72,180
73,159
74,119
75,46
76,90
77,99
78,85
79,96
80,82
81,67
82,100
83,121
84,98
85,110
86,122
87,142
88,63
89,78
90,151
91,63
92,119
93,112
94,113
95,149
96,69
97,111
98,100
99,73
100,97
101,121
102,105
103,64
104,114
105,96
106,135
107,128
108,34
109,141
110,86
111,115
112,130
113,115
114,69
115,109
116,66
117,140
118,121
119,144
120,121
121,154
122,80
123,142
124,84
125,109
126,78
127,88
128,106
129,68
130,86
131,114
132,91
133,53
134,77
135,61
136,88
137,55
138,100
139,185
140,38
141,101
142,37
143,75
144,138
145,88
146,66
147,117
148,138
149,148
150,127
151,98
152,129
153,133
154,129
155,110
156,116
157,114
158,87
159,54
160,107
161,47
162,117
163,112
164,167
165,125
166,40
167,143
168,160
169,50
170,125
171,128
172,71
173,58
174,120
175,122
176,82
177,160
178,122
179,83
180,121
181,94
182,137
183,72
184,92
185,137
186,106
187,102
188,165
189,118
190,94
191,112
192,138
193,135
194,116
195,78
196,88
197,87
198,109
199,109
200,171
201,71
202,135
203,102
204,138
205,103
206,41
207,86
208,78
209,139
210,110
211,129
212,82
213,51
214,92
215,112
216,61
217,71
218,140
219,98
220,76
221,96
222,120
223,124
224,81
225,86
226,94
227,111
228,144
229,76
230,119
231,98
232,96
233,103
234,144
235,126
236,131
237,80
238,65
239,81
240,113
241,111
242,135
243,121
244,121
245,119
246,107
247,109
248,45
249,135
250,92
251,115
252,182
253,100
254,84
255,83
256,98
257,71
258,89
259,118
260,83
261,131
262,172
263,55
264,100
265,85
266,89
267,105
268,174
269,53
270,114
271,101
272,64
273,107
274,95
275,105
276,121
277,62
278,115
279,119
280,79
281,116
282,110
283,83
284,119
285,77
286,101
287,79
288,136
289,68
290,105
291,82
292,105
293,76
294,127
295,70
296,118
297,98
298,112
299,157
300,71
301,55
302,41
303,143
304,62
305,106
306,98
307,72
308,85
309,71
310,90
311,100
312,52
313,108
314,120
315,106
316,60
317,116
318,131
319,72
320,115
321,120
322,123
323,172
324,85
325,129
326,123
327,96
328,78
329,139
330,121
331,102
332,93
333,120
334,98
335,136
336,76
337,143
338,119
339,102
340,69
341,128
342,82
343,72
344,111
345,63
346,106
347,90
348,104
349,143
350,154
351,113
352,83
353,80
354,48
355,114
356,123
357,133
358,133
359,154
360,108
361,103
362,51
363,83
364,98
365,90
366,118
367,133
368,117
369,120
370,41
371,110
372,102
373,35
374,141
375,138
376,87
377,94
378,128
379,87
380,125
381,130
382,143
383,112
384,134
385,114
386,147
387,83
388,115
389,40
390,135
391,149
392,72
393,147
394,109
395,121
396,31
397,122
398,76
399,97
400,57
401,88
402,118
403,-1
404,106
405,107
406,117
407,150
408,93
409,95
410,111
411,79
412,153
413,45
414,101
415,114
416,67
417,97
418,67
419,132
420,103
421,116
422,93
423,150
424,116
425,107
426,128
427,109
428,60
429,105
430,65
431,59
432,81
433,89
434,146
435,88
436,108
437,76
438,72
439,144
440,110
441,51
442,112
443,174
444,167
445,109
446,132
447,173
448,131
449,114
450,146
451,113
452,58
453,104
454,79
455,95
456,96
457,102
458,116
459,107
460,79
461,101
462,98
463,98
464,89
465,63
466,161
467,44
468,149
469,81
470,69
471,83
472,94
473,129
474,83
475,133
476,131
477,132
478,43
479,92
480,99
481,58
482,67
483,74
484,71
485,114
486,43
487,135
488,58
489,78
490,77
491,65
492,85
493,49
494,149
495,57
496,106
497,124
498,46
499,100
500,41
501,108
502,100
503,112
504,108
505,103
506,106
507,116
508,82
509,47
510,88
511,73
512,92
513,130
514,95
515,78
516,92
517,88
518,81
519,51
520,120
521,108
522,122
523,55
524,92
525,111
526,115
527,64
528,114
529,91
530,72
531,106
532,108
533,61
534,107
535,115
536,93
537,85
538,113
539,124
540,127
541,153
542,132
543,115
544,172
545,78
546,151
547,89
548,99
549,117
550,96
551,105
552,100
553,73
554,122
555,96
556,88
557,119
558,95
559,82
560,130
561,112
562,126
563,89
564,64
565,92
566,107
567,114
568,105
569,74
570,21
571,74
572,126
573,88
574,55
575,82
576,111
577,69
578,98
579,96
580,103
581,77
582,123
583,88
584,105
585,137
586,78
587,66
588,128
589,110
590,132
591,108
592,141
593,114
594,98
595,74
596,125
597,81
598,107
599,94
600,109
601,90
602,29
603,73
604,139
605,76
606,72
607,106
608,67
609,104
610,87
611,117
612,108
613,125
614,108
615,126
616,99
617,127
618,142
619,62
620,109
621,92
622,142
623,110
624,120
625,99
626,86
627,101
628,104
629,98
630,104
631,101
632,97
633,106
634,70
635,119
636,69
637,118
638,174
639,147
640,138
641,137
642,128
643,153
644,105
645,138
646,116
647,88
648,48
649,108
650,79
651,75
652,93
653,103
654,74
655,80
656,121
657,115
658,90
659,75
660,67
661,109
662,119
663,130
664,147
665,61
666,105
667,110
668,153
669,105
670,88
671,86
672,65
673,84
674,81
675,103
676,88
677,116
678,53
679,80
680,102
681,91
682,134
683,110
684,143
685,52
686,129
687,164
688,122
689,136
690,86
691,79
692,115
693,135
694,106
695,88
696,139
697,82
698,80
699,115
700,113
701,101
702,48
703,80
704,104
705,64
706,109
707,61
708,79
709,90
710,111
711,68
712,121
713,91
714,109
715,116
716,86
717,148
718,96
719,120
720,94
721,75
722,100
723,85
724,85
725,115
726,80
727,113
728,96
729,94
730,98
731,110
732,76
733,127
734,80
735,59
736,58
737,87
738,64
739,104
740,112
741,92
742,140
743,101
744,107
745,109
746,131
747,79
748,114
749,102
750,127
751,114
752,99
753,150
754,81
755,52
756,139
757,122
758,83
759,81
760,111
761,126
762,129
